epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,96508.6,0.58417,1.18341,0.70824,0.89015,0.80123,0.74644,0.79087,0.67098,0.80729,0.75088,0.79217,0.55967,0.47212,1.24413,0.56383,0.84402,0.004555,0.004555,0.004555
57,98496.6,0.58416,1.17804,0.70916,0.88993,0.81052,0.74273,0.79058,0.66951,0.81813,0.74672,0.79167,0.55919,0.47313,1.24576,0.56318,0.84499,0.004456,0.004456,0.004456
58,100465,0.58211,1.17892,0.70557,0.88934,0.80355,0.73928,0.78909,0.66917,0.81343,0.7463,0.78942,0.55928,0.47176,1.24479,0.56261,0.84425,0.004357,0.004357,0.004357
59,102513,0.5805,1.17515,0.70323,0.88919,0.79244,0.74836,0.78957,0.66854,0.8104,0.7503,0.79174,0.55906,0.47145,1.24369,0.56147,0.84401,0.004258,0.004258,0.004258
60,104534,0.57991,1.17227,0.70127,0.88839,0.79421,0.74664,0.78977,0.66905,0.81831,0.74365,0.79171,0.55956,0.47026,1.24295,0.5604,0.84315,0.004159,0.004159,0.004159
61,106549,0.57932,1.17267,0.7,0.88833,0.76839,0.77107,0.78934,0.67023,0.8019,0.75437,0.7916,0.55884,0.46936,1.24103,0.56031,0.84255,0.00406,0.00406,0.00406
62,108586,0.577,1.16966,0.69657,0.88713,0.76843,0.77551,0.78994,0.67007,0.78029,0.77303,0.79194,0.55959,0.46859,1.24101,0.5593,0.84204,0.003961,0.003961,0.003961
63,110636,0.57651,1.16862,0.69482,0.88722,0.78364,0.75993,0.79132,0.6724,0.7961,0.76221,0.7927,0.56015,0.46833,1.24012,0.55745,0.84269,0.003862,0.003862,0.003862
64,112715,0.57409,1.16776,0.69258,0.88649,0.77967,0.76899,0.79055,0.67143,0.79163,0.76947,0.79203,0.55994,0.46808,1.23865,0.55648,0.84235,0.003763,0.003763,0.003763
65,114753,0.57279,1.1654,0.69218,0.88584,0.79433,0.77446,0.7938,0.67447,0.79788,0.77276,0.79514,0.56317,0.46776,1.23918,0.55605,0.84191,0.003664,0.003664,0.003664
66,116811,0.5723,1.16464,0.68886,0.8863,0.79304,0.75826,0.79378,0.67463,0.8017,0.76376,0.79484,0.56296,0.46703,1.23887,0.55502,0.84175,0.003565,0.003565,0.003565
67,118861,0.57082,1.16331,0.6873,0.88534,0.79055,0.76521,0.79524,0.67525,0.80381,0.764,0.79656,0.56493,0.4668,1.23734,0.55393,0.84199,0.003466,0.003466,0.003466
68,120858,0.56858,1.15872,0.68497,0.8847,0.80391,0.75844,0.79508,0.67323,0.80576,0.75788,0.7944,0.5619,0.46732,1.23668,0.55315,0.84212,0.003367,0.003367,0.003367
69,122774,0.56606,1.15718,0.68231,0.88436,0.78942,0.7655,0.7945,0.67467,0.80566,0.76094,0.79562,0.56356,0.4656,1.23644,0.55236,0.84157,0.003268,0.003268,0.003268
70,124689,0.56607,1.15744,0.68084,0.88462,0.78724,0.76091,0.79392,0.67511,0.80398,0.76241,0.79522,0.56326,0.46504,1.23675,0.55082,0.84109,0.003169,0.003169,0.003169
71,126595,0.56366,1.15417,0.67932,0.8826,0.79206,0.76172,0.79466,0.67651,0.80827,0.75726,0.79643,0.56421,0.46449,1.23637,0.55025,0.84056,0.00307,0.00307,0.00307
72,128587,0.56176,1.15172,0.67375,0.88252,0.80307,0.75845,0.79656,0.67671,0.81152,0.75784,0.79754,0.56534,0.46246,1.23479,0.54958,0.83835,0.002971,0.002971,0.002971
73,130547,0.56154,1.15116,0.67433,0.88229,0.79534,0.76082,0.79614,0.67748,0.81161,0.75252,0.79759,0.56549,0.46177,1.23302,0.54903,0.83768,0.002872,0.002872,0.002872
74,132520,0.55993,1.14854,0.66943,0.88185,0.78861,0.76782,0.79871,0.6803,0.8008,0.76268,0.79912,0.56762,0.46099,1.23145,0.54768,0.83741,0.002773,0.002773,0.002773
75,134469,0.55765,1.14275,0.66804,0.88139,0.79892,0.76145,0.79745,0.67878,0.80755,0.75909,0.79737,0.56693,0.46012,1.23012,0.54589,0.83709,0.002674,0.002674,0.002674
76,136407,0.5569,1.14259,0.66603,0.88118,0.79387,0.76607,0.79786,0.68031,0.80633,0.76028,0.7979,0.56537,0.46026,1.22848,0.54594,0.83719,0.002575,0.002575,0.002575
77,138418,0.55427,1.14148,0.66216,0.8798,0.79731,0.76222,0.79954,0.68192,0.80467,0.76504,0.80059,0.56824,0.4596,1.22872,0.54397,0.83709,0.002476,0.002476,0.002476
78,140393,0.55287,1.13918,0.65943,0.87968,0.80179,0.7611,0.79939,0.68182,0.81177,0.76422,0.80093,0.56942,0.45846,1.22846,0.54299,0.83686,0.002377,0.002377,0.002377
79,142388,0.55097,1.13818,0.65705,0.87934,0.79442,0.76772,0.80012,0.68432,0.81518,0.7597,0.80126,0.56953,0.45734,1.22782,0.54141,0.83601,0.002278,0.002278,0.002278
80,144475,0.54857,1.13527,0.65396,0.87817,0.8003,0.75999,0.80072,0.68386,0.81191,0.76054,0.80208,0.57172,0.45728,1.22695,0.54162,0.83571,0.002179,0.002179,0.002179
81,146497,0.54658,1.13096,0.65114,0.87768,0.79798,0.76527,0.80009,0.68431,0.80297,0.76861,0.80191,0.57119,0.45552,1.22535,0.53968,0.83483,0.00208,0.00208,0.00208
82,148436,0.54591,1.13041,0.64844,0.87714,0.79619,0.76955,0.79903,0.68303,0.79961,0.77103,0.80181,0.57018,0.45536,1.22328,0.53841,0.83461,0.001981,0.001981,0.001981
83,150167,0.54041,1.12443,0.64385,0.87577,0.80057,0.76392,0.79848,0.68244,0.80363,0.7666,0.80113,0.57072,0.45507,1.22437,0.53712,0.83433,0.001882,0.001882,0.001882
84,151769,0.5408,1.12171,0.64116,0.87585,0.80445,0.7652,0.80032,0.68415,0.80877,0.7684,0.80249,0.57157,0.45469,1.22343,0.53628,0.83423,0.001783,0.001783,0.001783
85,153373,0.53808,1.11944,0.63699,0.8747,0.80304,0.76498,0.80211,0.68577,0.80662,0.76763,0.80476,0.57262,0.45396,1.2216,0.53467,0.83413,0.001684,0.001684,0.001684
86,154975,0.53382,1.11402,0.63222,0.87354,0.81123,0.76181,0.80153,0.6863,0.81417,0.76445,0.80364,0.57374,0.45341,1.22079,0.53253,0.83408,0.001585,0.001585,0.001585
87,156580,0.53306,1.11268,0.63045,0.87329,0.80873,0.7635,0.8015,0.68586,0.81158,0.76551,0.80352,0.57458,0.45321,1.22046,0.53128,0.8342,0.001486,0.001486,0.001486
88,158181,0.53087,1.10929,0.62673,0.87274,0.80174,0.76657,0.80223,0.68774,0.80382,0.769,0.80407,0.57606,0.45172,1.21918,0.52982,0.83368,0.001387,0.001387,0.001387
89,159785,0.52802,1.10906,0.62314,0.87238,0.80215,0.76519,0.80325,0.68991,0.80123,0.76974,0.80466,0.57612,0.45022,1.21854,0.52772,0.83309,0.001288,0.001288,0.001288
90,161386,0.52565,1.10108,0.61761,0.87133,0.80278,0.76519,0.80422,0.69103,0.80514,0.77076,0.80505,0.57684,0.44919,1.21604,0.52671,0.83235,0.001189,0.001189,0.001189
91,163053,0.4924,1.06118,0.55282,0.85196,0.79971,0.77175,0.80563,0.69219,0.7987,0.77342,0.80573,0.57671,0.449,1.21525,0.52426,0.83186,0.00109,0.00109,0.00109
92,164632,0.48764,1.0544,0.54301,0.85032,0.80454,0.77108,0.80667,0.69228,0.80221,0.77482,0.80776,0.58065,0.44775,1.21295,0.52252,0.83085,0.000991,0.000991,0.000991
93,166203,0.48191,1.046,0.53586,0.84845,0.8043,0.77297,0.80804,0.69393,0.80632,0.77462,0.80726,0.57988,0.44663,1.2116,0.52082,0.83066,0.000892,0.000892,0.000892
94,167782,0.47695,1.04049,0.52884,0.84659,0.81253,0.768,0.80953,0.69623,0.81095,0.76999,0.80966,0.58253,0.44654,1.21076,0.51884,0.83073,0.000793,0.000793,0.000793
95,169356,0.47394,1.03553,0.52276,0.84574,0.80795,0.77514,0.81042,0.69604,0.80833,0.77703,0.81027,0.58387,0.44584,1.20959,0.51739,0.83049,0.000694,0.000694,0.000694
96,170934,0.46953,1.02916,0.51558,0.84353,0.81006,0.77226,0.81153,0.69728,0.80961,0.77529,0.81077,0.58333,0.44475,1.21003,0.51518,0.82969,0.000595,0.000595,0.000595
97,172510,0.46454,1.02577,0.50843,0.84217,0.80453,0.77837,0.81306,0.69857,0.80425,0.7796,0.81195,0.58559,0.44354,1.21103,0.51269,0.82888,0.000496,0.000496,0.000496
98,174263,0.4598,1.0219,0.50148,0.84179,0.79671,0.78396,0.81399,0.69878,0.79848,0.78373,0.81294,0.58489,0.44309,1.21069,0.51147,0.82887,0.000397,0.000397,0.000397
99,175955,0.4563,1.01414,0.49563,0.84096,0.80241,0.77659,0.81402,0.699,0.80372,0.77797,0.81248,0.58475,0.44238,1.20934,0.5096,0.82875,0.000298,0.000298,0.000298
100,177605,0.45164,1.01165,0.48727,0.83839,0.79477,0.78547,0.81425,0.69879,0.80423,0.78151,0.81284,0.58525,0.44159,1.20888,0.50808,0.82844,0.000199,0.000199,0.000199
