epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,12946.8,1.15481,2.66266,1.2078,1.18528,0.71927,0.61239,0.69218,0.50122,0.71685,0.56768,0.64232,0.40026,1.0436,2.63788,1.00874,1.12236,0.004159,0.004159,0.004159
61,13163.3,1.15266,2.66621,1.20151,1.18148,0.72466,0.60677,0.69296,0.50179,0.71746,0.57147,0.6432,0.4005,1.04262,2.63592,1.00708,1.12164,0.00406,0.00406,0.00406
62,13386.3,1.15329,2.66118,1.20484,1.18202,0.72609,0.60627,0.69333,0.50213,0.7159,0.5718,0.6442,0.40078,1.04159,2.63387,1.00644,1.12072,0.003961,0.003961,0.003961
63,13606.8,1.1553,2.67058,1.20097,1.18059,0.72743,0.60582,0.69329,0.50207,0.71725,0.57522,0.64448,0.4015,1.04108,2.63325,1.0051,1.1204,0.003862,0.003862,0.003862
64,13816.1,1.14367,2.65193,1.1873,1.17406,0.72822,0.6032,0.69422,0.50338,0.71723,0.5747,0.64507,0.40175,1.04071,2.63098,1.00455,1.12013,0.003763,0.003763,0.003763
65,14018.8,1.14366,2.65842,1.18895,1.1719,0.72733,0.60679,0.69462,0.50308,0.72058,0.57162,0.64531,0.4026,1.03992,2.6307,1.00358,1.11987,0.003664,0.003664,0.003664
66,14218,1.14332,2.64737,1.17855,1.17105,0.72761,0.60579,0.69414,0.50412,0.71829,0.57109,0.64513,0.40257,1.03982,2.63045,1.00343,1.1198,0.003565,0.003565,0.003565
67,14420.7,1.13486,2.63163,1.17562,1.16696,0.72666,0.60568,0.69482,0.50374,0.72051,0.56962,0.64581,0.40225,1.03956,2.62952,1.00227,1.11943,0.003466,0.003466,0.003466
68,14623.8,1.13456,2.63044,1.17351,1.16705,0.72324,0.60773,0.69529,0.50457,0.72123,0.56951,0.64651,0.40261,1.03963,2.63188,1.00096,1.11936,0.003367,0.003367,0.003367
69,14827.4,1.13557,2.62522,1.16603,1.16509,0.72241,0.61156,0.69605,0.50497,0.72229,0.57161,0.6473,0.40285,1.03916,2.63128,1.00074,1.11912,0.003268,0.003268,0.003268
70,15034.3,1.13131,2.61612,1.16332,1.16656,0.72544,0.6096,0.69682,0.50504,0.7215,0.57776,0.64678,0.40319,1.03957,2.63252,1,1.11895,0.003169,0.003169,0.003169
71,15237.1,1.13187,2.62955,1.16266,1.16472,0.72974,0.60642,0.69635,0.50531,0.72008,0.57511,0.647,0.40369,1.03839,2.63121,0.99872,1.11856,0.00307,0.00307,0.00307
