epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,7214.94,1.19238,2.78628,1.23374,1.1587,0.71835,0.57555,0.66841,0.47844,0.72224,0.54959,0.62288,0.3797,1.0694,2.66576,1.01077,1.08518,0.005149,0.005149,0.005149
51,7352.77,1.19621,2.78111,1.23589,1.16009,0.72632,0.57443,0.66906,0.47955,0.71635,0.54932,0.62081,0.38012,1.06762,2.6634,1.01116,1.0839,0.00505,0.00505,0.00505
52,7490.96,1.18826,2.76871,1.22355,1.15424,0.71677,0.58105,0.67018,0.48133,0.73375,0.54015,0.62341,0.38107,1.06543,2.6605,1.00824,1.08203,0.004951,0.004951,0.004951
53,7629.36,1.18829,2.75985,1.21234,1.15419,0.72784,0.58302,0.67088,0.48174,0.72992,0.54699,0.62324,0.38186,1.06213,2.6584,1.00741,1.08034,0.004852,0.004852,0.004852
54,7762.19,1.17608,2.74852,1.20082,1.14964,0.71553,0.5843,0.6687,0.48079,0.72222,0.54391,0.62337,0.38174,1.06156,2.66132,1.00629,1.07921,0.004753,0.004753,0.004753
55,7892.4,1.17583,2.74853,1.20579,1.14985,0.71942,0.58519,0.67084,0.48242,0.71871,0.54962,0.62231,0.38293,1.06153,2.65793,1.00412,1.07915,0.004654,0.004654,0.004654
56,8025.93,1.17613,2.73519,1.2053,1.1527,0.71584,0.59024,0.67223,0.48382,0.72392,0.5492,0.62404,0.38322,1.0607,2.65789,1.00259,1.07825,0.004555,0.004555,0.004555
57,8155.55,1.16597,2.73522,1.19273,1.14483,0.72345,0.58743,0.67252,0.48384,0.72519,0.55047,0.62362,0.38263,1.06071,2.65929,1.00076,1.07804,0.004456,0.004456,0.004456
58,8287.06,1.17515,2.73719,1.20141,1.14881,0.72516,0.58645,0.6732,0.48431,0.72571,0.54944,0.62543,0.38375,1.06001,2.65899,0.99902,1.07768,0.004357,0.004357,0.004357
59,8422.32,1.16936,2.72787,1.19316,1.14324,0.72808,0.58507,0.67356,0.48497,0.71957,0.54852,0.62458,0.38352,1.05939,2.65784,0.99877,1.07713,0.004258,0.004258,0.004258
60,8558.6,1.16839,2.73471,1.18852,1.14431,0.72814,0.58798,0.67425,0.48446,0.71856,0.55027,0.62595,0.38423,1.0598,2.65643,0.99723,1.07691,0.004159,0.004159,0.004159
61,8697.31,1.16663,2.72435,1.18458,1.14392,0.73525,0.58292,0.67491,0.48567,0.71998,0.54972,0.62655,0.38496,1.05883,2.65453,0.99564,1.0765,0.00406,0.00406,0.00406
62,8836.14,1.15964,2.72371,1.1764,1.14184,0.72924,0.58435,0.67584,0.48552,0.71895,0.55189,0.62748,0.38558,1.05855,2.65079,0.99492,1.07648,0.003961,0.003961,0.003961
63,8974.89,1.16457,2.71739,1.1817,1.14042,0.72822,0.58218,0.67598,0.48583,0.71725,0.55638,0.62771,0.38496,1.0587,2.6528,0.99381,1.07642,0.003862,0.003862,0.003862
64,9112.8,1.15047,2.70333,1.16813,1.13636,0.71676,0.59372,0.6761,0.48607,0.7244,0.552,0.62873,0.38582,1.0585,2.65322,0.99352,1.07635,0.003763,0.003763,0.003763
65,9252.08,1.15366,2.70114,1.16914,1.13733,0.72122,0.58996,0.67575,0.48615,0.72282,0.55113,0.62861,0.38589,1.05815,2.65253,0.9919,1.07595,0.003664,0.003664,0.003664
66,9388.61,1.15917,2.70828,1.16498,1.13461,0.72443,0.58462,0.67639,0.48606,0.72361,0.54724,0.62829,0.38613,1.05727,2.65297,0.99137,1.07547,0.003565,0.003565,0.003565
67,9534.48,1.14973,2.68281,1.15636,1.133,0.72329,0.58448,0.67671,0.48596,0.71928,0.55215,0.6291,0.38581,1.05699,2.65227,0.99065,1.07535,0.003466,0.003466,0.003466
68,9675.75,1.1462,2.69256,1.15087,1.13124,0.72761,0.58349,0.67706,0.4866,0.72255,0.55223,0.62931,0.38623,1.05589,2.65146,0.98925,1.07463,0.003367,0.003367,0.003367
69,9816.48,1.14458,2.67788,1.14309,1.12796,0.7244,0.58542,0.6766,0.48709,0.72805,0.547,0.6283,0.38614,1.05497,2.65038,0.98846,1.07403,0.003268,0.003268,0.003268
70,9949.07,1.14018,2.67946,1.1454,1.13217,0.72602,0.58464,0.67702,0.48733,0.74082,0.54363,0.62797,0.38627,1.05464,2.65063,0.9881,1.07379,0.003169,0.003169,0.003169
71,10081.4,1.13916,2.68755,1.13936,1.12614,0.73502,0.5783,0.67715,0.48808,0.74445,0.54195,0.62756,0.38642,1.05423,2.65032,0.98768,1.07344,0.00307,0.00307,0.00307
72,10211.9,1.13912,2.65848,1.13273,1.12736,0.72098,0.58892,0.67893,0.48859,0.74437,0.54205,0.62882,0.38684,1.05407,2.65031,0.98699,1.07367,0.002971,0.002971,0.002971
73,10344.1,1.13458,2.66607,1.12487,1.12281,0.73567,0.5768,0.67842,0.48858,0.73573,0.54632,0.62943,0.38697,1.0542,2.64928,0.98625,1.0736,0.002872,0.002872,0.002872
74,10475.3,1.13511,2.66312,1.12688,1.12052,0.72436,0.58854,0.67798,0.48882,0.73466,0.54834,0.63005,0.38718,1.05328,2.64892,0.98511,1.07304,0.002773,0.002773,0.002773
75,10607.2,1.12903,2.66134,1.11829,1.11975,0.7205,0.58953,0.67989,0.48955,0.72737,0.54893,0.63013,0.38734,1.05225,2.64752,0.98426,1.07265,0.002674,0.002674,0.002674
76,10738.5,1.1343,2.6662,1.13015,1.12166,0.71773,0.5897,0.68022,0.48997,0.72474,0.55026,0.63017,0.38767,1.05154,2.64965,0.98382,1.07205,0.002575,0.002575,0.002575
77,10871.7,1.12243,2.63679,1.11423,1.11957,0.7202,0.58999,0.68043,0.49017,0.71815,0.55294,0.62926,0.38797,1.05095,2.64818,0.98275,1.07168,0.002476,0.002476,0.002476
78,11002.3,1.1257,2.66,1.11511,1.11432,0.72003,0.59001,0.68039,0.4903,0.7165,0.55434,0.63152,0.3881,1.05096,2.64618,0.9817,1.07143,0.002377,0.002377,0.002377
79,11132.8,1.11947,2.63254,1.103,1.11321,0.71788,0.59082,0.68055,0.48985,0.7173,0.55885,0.63213,0.388,1.05085,2.64576,0.98085,1.07117,0.002278,0.002278,0.002278
80,11263.1,1.11696,2.63054,1.10228,1.11592,0.71211,0.59517,0.68109,0.49167,0.71979,0.55778,0.63379,0.38892,1.05069,2.64427,0.97993,1.07109,0.002179,0.002179,0.002179
81,11393.6,1.11287,2.62371,1.09516,1.11243,0.70315,0.59961,0.68116,0.49214,0.73491,0.54532,0.63463,0.38884,1.05017,2.64207,0.97912,1.07044,0.00208,0.00208,0.00208
82,11525,1.11047,2.62312,1.08528,1.10951,0.69835,0.59926,0.68068,0.49211,0.73682,0.5458,0.63423,0.38902,1.04988,2.64076,0.97808,1.07,0.001981,0.001981,0.001981
83,11657.6,1.11288,2.61454,1.09188,1.11,0.70152,0.59895,0.68167,0.49319,0.73965,0.5466,0.63441,0.38925,1.04955,2.63974,0.97712,1.06982,0.001882,0.001882,0.001882
84,11788.1,1.11274,2.6228,1.09134,1.11017,0.71137,0.59817,0.68171,0.49402,0.73683,0.5499,0.63548,0.3898,1.04929,2.63946,0.97608,1.06954,0.001783,0.001783,0.001783
85,11919.6,1.10341,2.60544,1.07402,1.10298,0.7131,0.59911,0.68292,0.49399,0.73509,0.55375,0.63692,0.39014,1.04887,2.63805,0.97555,1.0694,0.001684,0.001684,0.001684
86,12049.4,1.1037,2.60469,1.0738,1.10605,0.71666,0.59711,0.6836,0.49461,0.73437,0.55363,0.63593,0.39031,1.0487,2.63887,0.97475,1.06921,0.001585,0.001585,0.001585
87,12179.2,1.09873,2.59604,1.07112,1.10221,0.72212,0.59723,0.68366,0.49485,0.7404,0.55133,0.63617,0.39032,1.04865,2.63644,0.97343,1.06904,0.001486,0.001486,0.001486
88,12311.1,1.10109,2.60213,1.06717,1.10139,0.72574,0.59705,0.68436,0.49536,0.74344,0.55082,0.63562,0.39099,1.04817,2.63646,0.973,1.0688,0.001387,0.001387,0.001387
89,12441.9,1.10051,2.58155,1.06304,1.10216,0.72639,0.59503,0.68434,0.49498,0.74484,0.55027,0.6359,0.3908,1.04794,2.63662,0.97227,1.06869,0.001288,0.001288,0.001288
90,12574.1,1.09483,2.5834,1.05566,1.10323,0.72713,0.59393,0.6846,0.49523,0.7446,0.54958,0.63562,0.39024,1.04774,2.63494,0.97147,1.06823,0.001189,0.001189,0.001189
91,12739.9,1.07584,2.52597,0.97571,1.09272,0.7287,0.59431,0.6848,0.49483,0.74426,0.55194,0.6364,0.39009,1.04731,2.63755,0.9714,1.06801,0.00109,0.00109,0.00109
92,12870.2,1.07951,2.5307,0.97381,1.08715,0.72675,0.59507,0.68393,0.49459,0.73728,0.55341,0.63569,0.39034,1.0472,2.63783,0.9716,1.06791,0.000991,0.000991,0.000991
93,13001,1.07043,2.51704,0.9638,1.08638,0.72775,0.59693,0.68427,0.49547,0.72994,0.56125,0.63674,0.3906,1.04734,2.63742,0.97163,1.06791,0.000892,0.000892,0.000892
94,13132.5,1.06359,2.50921,0.95925,1.08453,0.72897,0.59553,0.68445,0.49536,0.72556,0.56312,0.63733,0.39093,1.0474,2.63962,0.9713,1.06797,0.000793,0.000793,0.000793
95,13264.2,1.06418,2.50464,0.95077,1.0837,0.73193,0.59754,0.68444,0.49588,0.72712,0.56404,0.63815,0.39166,1.04716,2.63772,0.97111,1.06793,0.000694,0.000694,0.000694
96,13394.9,1.06475,2.50646,0.94806,1.08396,0.73268,0.59789,0.6848,0.49531,0.72386,0.56511,0.63739,0.3915,1.04685,2.63587,0.97073,1.06745,0.000595,0.000595,0.000595
97,13537.7,1.06073,2.50341,0.93904,1.08328,0.74063,0.59449,0.68578,0.49555,0.72535,0.56251,0.63758,0.39124,1.04614,2.63576,0.97048,1.06731,0.000496,0.000496,0.000496
98,13684.5,1.0579,2.50149,0.93611,1.07459,0.73549,0.59592,0.68571,0.49525,0.72089,0.56855,0.6381,0.39184,1.04601,2.63603,0.96983,1.06722,0.000397,0.000397,0.000397
99,13837.1,1.0553,2.49614,0.93442,1.08013,0.7388,0.5955,0.68601,0.49559,0.72179,0.56875,0.63898,0.39209,1.04588,2.63397,0.96971,1.06715,0.000298,0.000298,0.000298
100,13986.2,1.05697,2.48162,0.93052,1.07531,0.7415,0.59421,0.68632,0.49539,0.72372,0.56386,0.63787,0.39164,1.04614,2.63399,0.96962,1.06741,0.000199,0.000199,0.000199
